	Name der Institution	Ort	Name Ministerien	Affiliation ROR	ROR ID	GRID ID	Wikidata ID	Einrichtungsart	URL Webseite Institution	Name GERiT	Ort GERiT	GERiT ID 	URL der Einrichtung GERiT	Name GERiT English	GRID ID GERiT	DFG Instituts ID GERiT	Straße GERiT	Hausnummer GERiT	Postfach GERiT	Postleitzahl vor Ort GERiT	Ort GERiT	DESTATIS Fächerguppe GERiT	DESTATIS Lehr- Forschungsbereich GERiT	DESTATIS Fachgebiet GERiT	Crossref ID 1 GERiT	Crossref ID 2 GERiT	Crossref ID 3 GERiT	Einrichtungsart GERiT	Einrichtungsart GERIT English	OA Webseite der Institution	OA Webseite Datum	OA-Beauftragte/r	OA-Beauftragte/r URL	OA-Beauftragte/r URL Datum	Ansprechperson für Open Access	Ansprechperson für Open Access URL	Ansprechperson für Open Access URL Datum	(Funktions-)Emailadresse	OA Policy	OA Policy Datum	OA Policy URL	OA Policy URL Datum	OA Leitlinie	OA Leitlinie Datum	OA Leitlinie URL	OA Leitlinie URL Datum	Publikationsfonds	Publikationsfonds Art der Finanzierung	Zs. Publikationsfonds	Zs. Publikationsfonds URL	Mono Publikationsfonds 	Mono Publikationsfonds URL	Publikationsfonds Datum Recherche	Repositorium URL	OA-Verlag	OA-Verlag URL	OA-Verlag Datum Recherche	OJS-Standort	OJS-Standort URL	OJS-Standort Datum Recherche	OA/OS-Preis URL	Berliner Erklärung	Datum Berliner Erklärung (Bundesländeratlas)	Berliner Erklärung Datum Recherche	OA2020	Datum OA2020 (Bundesländeratlas)	OA2020 Datum Recherche	DORA Institution	DORA Datum Recherche	Jussieu	Jussieu Datum Recherche	aktualisiert am
 Sachsen	Hochschule für Grafik und Buchkunst Leipzig	Leipzig	NA	NA	https://ror.org/03hzkp562	grid.462294.f	Q315175	Hochschule	www.hgb-leipzig.de	Hochschule für Grafik und Buchkunst Leipzig	Leipzig	http://www.gerit.org/de/institutiondetail/10391	www.hgb-leipzig.de	Academy of Visual Arts, Leipzig	grid.462294.f	NA	Wächterstraße	11	NA	4107	Leipzig	Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen)	Hochschule insgesamt	Hochschule allgemein	NA	NA	NA	Musik/Kunst-HS	NA	NA	04.07.2021	NA	NA	05.07.2021	NA	NA	NA	NA	NA	NA	NA		NA	NA			NA	NA	NA	NA	NA	NA	Recherche fehlt	https://www.hgb-leipzig.de/einrichtungen/bibliothek/qucosa/	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	nein	NA	05.07.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut Informationszentrum Raum und Bau (IRB)	Stuttgart	Fraunhofer-Institut Informationszentrum Raum und Bau (IRB)	NA	https://ror.org/01yrp7892	grid.469872.6	Q1451975	Forschungsorganisation: Frauenhofer-Gesellschaft	irb.fraunhofer.de/	Fraunhofer-Institut Informationszentrum Raum und Bau (IRB)	Stuttgart	http://www.gerit.org/de/institutiondetail/10690	irb.fraunhofer.de/	Fraunhofer Information Centre for Planning and Building (IRB)	NA	10690	Nobelstraße	12	NA	70569	Stuttgart	Ingenieurwissenschaften	Raumplanung	Raumplanung allgemein	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)	Freiburg	Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)	NA	https://ror.org/00csq2k70	grid.461627.0	Q438787	Forschungsorganisation: Frauenhofer-Gesellschaft	www.emi.fraunhofer.de/	Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)	Freiburg	http://www.gerit.org/de/institutiondetail/10647	www.emi.fraunhofer.de/	Fraunhofer Institute for High-Speed Dynamics, Ernst Mach Institute (EMI)	grid.461627.0	10647	Ernst-Zermelo-Straße	4	NA	79104	Freiburg	Ingenieurwissenschaften	Materialwissenschaft und Werkstofftechnik	Werkstofftechnik	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Angewandte Festkörperphysik (IAF)	Freiburg	Fraunhofer-Institut für Angewandte Festkörperphysik (IAF)	NA	https://ror.org/0083ncs46	grid.424642.2	Q1315154	Forschungsorganisation: Frauenhofer-Gesellschaft	www.iaf.fraunhofer.de/	Fraunhofer-Institut für Angewandte Festkörperphysik (IAF)	Freiburg	http://www.gerit.org/de/institutiondetail/10096	www.iaf.fraunhofer.de/	Fraunhofer Institute for Applied Solid State Physics (IAF)	grid.424642.2	10096	Tullastraße	72	NA	79108	Freiburg	Mathematik, Naturwissenschaften	Physik, Astronomie	Festkörperphysik	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO)	Stuttgart	Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO)	NA	https://ror.org/01nh64743	grid.434477.7	Q1451990	Forschungsorganisation: Frauenhofer-Gesellschaft	www.iao.fraunhofer.de/lang-de/	Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO)	Stuttgart	http://www.gerit.org/de/institutiondetail/10094	www.iao.fraunhofer.de/lang-de/	Fraunhofer Institute for Industrial Engineering (IAO)	grid.434477.7	10094	Nobelstraße	12	NA	70569	Stuttgart	Rechts-, Wirtschafts- und Sozialwissenschaften	Wirtschaftswissenschaften	Arbeitslehre/-wissenschaft	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Bauphysik (IBP)	Stuttgart	Fraunhofer-Institut für Bauphysik (IBP)	NA	https://ror.org/04y8p0f91	grid.469871.5	Q1451988	Forschungsorganisation: Frauenhofer-Gesellschaft	www.ibp.fraunhofer.de/	Fraunhofer-Institut für Bauphysik (IBP)	Stuttgart	http://www.gerit.org/de/institutiondetail/10645	www.ibp.fraunhofer.de/	Fraunhofer Institute for Building Physics (IBP)	grid.469871.5	10645	Nobelstraße	12	NA	70569	Stuttgart	Ingenieurwissenschaften	Architektur	Grundlagen und Hilfswissenschaften der Architektur	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Chemische Technologie (ICT)	Pfinztal	Fraunhofer-Institut für Chemische Technologie (ICT)	NA	https://ror.org/03nb1x490	grid.461616.2	Q1452001	Forschungsorganisation: Frauenhofer-Gesellschaft	www.ict.fraunhofer.de	Fraunhofer-Institut für Chemische Technologie (ICT)	Pfinztal	http://www.gerit.org/de/institutiondetail/10654	www.ict.fraunhofer.de	Fraunhofer Institute for Chemical Technology (ICT)	grid.461616.2	10654	Joseph-von-Fraunhofer-Straße	7	NA	76327	Pfinztal	Ingenieurwissenschaften	Maschinenbau/Verfahrenstechnik	Chemieingenieurwesen/Chemietechnik	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB)	Stuttgart	Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB)	NA	https://ror.org/0131dra29	grid.469831.1	Q1452007	Forschungsorganisation: Frauenhofer-Gesellschaft	www.igb.fraunhofer.de/	Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB)	Stuttgart	http://www.gerit.org/de/institutiondetail/10666	www.igb.fraunhofer.de/	Fraunhofer Institute for Interfacial Engineering and Biotechnology (IGB)	grid.469831.1	10666	Nobelstraße	12	NA	70569	Stuttgart	Ingenieurwissenschaften	Maschinenbau/Verfahrenstechnik	Biotechnologie (techn. Verfahren)	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB	Karlsruhe	Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB	NA	https://ror.org/01zx97922	grid.466706.5	Q1432182	Forschungsorganisation: Frauenhofer-Gesellschaft	www.iosb.fraunhofer.de	Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB	Karlsruhe	http://www.gerit.org/de/institutiondetail/10095	www.iosb.fraunhofer.de	Fraunhofer-Institute of Optronics, System Technologies and Image Exploitation IOSB	grid.466706.5	10095	Fraunhoferstraße	1	NA	76131	Karlsruhe	Ingenieurwissenschaften	Elektrotechnik und Informationstechnik	Optoelektronik	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
Baden-Württemberg	Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA	Stuttgart	Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA	NA	https://ror.org/01rvqha10	grid.469833.3	Q1452023	Forschungsorganisation: Frauenhofer-Gesellschaft	www.ipa.fraunhofer.de/	Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA	Stuttgart	http://www.gerit.org/de/institutiondetail/10689	www.ipa.fraunhofer.de/	Fraunhofer Institute for Manufacturing Engineering and Automation IPA	grid.469833.3	10689	Nobelstraße	12	NA	70569	Stuttgart	Ingenieurwissenschaften	Maschinenbau/Verfahrenstechnik	Produktions- und Fertigungstechnologie	NA	NA	NA	FhG	Fraunhofer	https://www.openaccess.fraunhofer.de/	28.06.2021	NA	NA	NA	Research Services & Open Science	https://irb.fraunhofer.de/de/research-services.html	28.06.2021	NA	ja, als FhG	Juni 2008	https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf		https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf	Oktober 2015			ja	Eigenmittel; über FhG-Publikationsfonds	ja	NA	NA	NA	Recherche fehlt	https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html	nein	NA	13.06.2021	nein	NA	13.06.2021	NA	ja, als FhG	22.10.2003	28.06.2021	nein	NA		nein		nein		14.06.2021
