"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType","add.OA_Website","add.OA_Beauftragte","add.OA_Beauftragte_URL","add.OA.Policy.URL","add.OA.Leitlinie.URL","add.Repositorium.URL","add.OA.Verlag.URL","additional.infos"
"Q315175","Sachsen","Hochschule für Grafik und Buchkunst Leipzig","Leipzig","Hochschule","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,51.33,39.55,"Hochschule",NA,NA,NA,NA,NA,"https://www.hgb-leipzig.de/einrichtungen/bibliothek/qucosa/",NA,"  OA Repositorium URL:https://www.hgb-leipzig.de/einrichtungen/bibliothek/qucosa/"
"Q1451975","Baden-Württemberg","Fraunhofer-Institut Informationszentrum Raum und Bau (IRB)","Stuttgart","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q438787","Baden-Württemberg","Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)","Freiburg","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1315154","Baden-Württemberg","Fraunhofer-Institut für Angewandte Festkörperphysik (IAF)","Freiburg","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1451990","Baden-Württemberg","Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO)","Stuttgart","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1451988","Baden-Württemberg","Fraunhofer-Institut für Bauphysik (IBP)","Stuttgart","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1452001","Baden-Württemberg","Fraunhofer-Institut für Chemische Technologie (ICT)","Pfinztal","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1452007","Baden-Württemberg","Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB)","Stuttgart","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1432182","Baden-Württemberg","Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB","Karlsruhe","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
"Q1452023","Baden-Württemberg","Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA","Stuttgart","Forschungsorganisation: Frauenhofer-Gesellschaft","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:https://www.openaccess.fraunhofer.de/ OA Policy URL:https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf OA Repositorium URL:https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html"
