"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType","add.OA_Website","add.OA_Beauftragte","add.OA_Beauftragte_URL","add.OA.Policy.URL","add.OA.Leitlinie.URL","add.Repositorium.URL","add.OA.Verlag.URL","additional.infos","item","name","coord","lat","lon","ZoomLevel"
"Q1001338","Baden-Württemberg","Duale Hochschule Baden-Württemberg Lörrach","Lörrach","Hochschule",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"33.33%",33.33,35.26,39.55,"Hochschule","https://dhbw-loerrach.de/home",NA,NA,"www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf",NA,NA,NA," OA websites:<a href='https://dhbw-loerrach.de/home'>https://dhbw-loerrach.de/home</a> OA Policy URL:<a href='www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf'>www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf</a>","http://www.wikidata.org/entity/Q1001338","Q1001338","Point(7.67724 47.61733)",47.61733,7.67724,"3"
"Q1011953","Sachsen-Anhalt","Burg Giebichenstein Kunsthochschule Halle","Halle","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"16.67%",16.67,51.52,39.55,"Hochschule",NA,NA,NA,NA,NA,"opendata.uni-halle.de/",NA,"  OA Repositorium URL:<a href='opendata.uni-halle.de/'>opendata.uni-halle.de/</a>","http://www.wikidata.org/entity/Q1011953","Q1011953","Point(11.9549 51.5027)",51.5027,11.9549,"3"
"Q1017599","Berlin","BSP Business School Berlin","Berlin","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,40.09,39.55,"Hochschule",NA,NA,NA,NA,NA,NA,NA," ","http://www.wikidata.org/entity/Q1017599","Q1017599","Point(13.054074 52.406958)",52.406958,13.054074,"3"
"Q1060","Hamburg","Technische Universität Hamburg","Hamburg","Universität",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5,"83.33%",83.33,32.32,39.55,"Universität","www.tub.tuhh.de/publizieren/openaccess/","Inken Feldsien-Sudhaus","www.tub.tuhh.de/home/ansprechpartner/inken-feldsien-sudhaus/","www.tub.tuhh.de/publizieren/openaccess/open-access-at-tuhh/",NA,"tore.tuhh.de/",NA," OA websites:<a href='www.tub.tuhh.de/publizieren/openaccess/'>www.tub.tuhh.de/publizieren/openaccess/</a> OA Beauftragte:<a href='Inken Feldsien-Sudhaus'>Inken Feldsien-Sudhaus</a> OA Beauftragte URL:<a href='www.tub.tuhh.de/home/ansprechpartner/inken-feldsien-sudhaus/'>www.tub.tuhh.de/home/ansprechpartner/inken-feldsien-sudhaus/</a> OA Policy URL:<a href='www.tub.tuhh.de/publizieren/openaccess/open-access-at-tuhh/'>www.tub.tuhh.de/publizieren/openaccess/open-access-at-tuhh/</a> OA Repositorium URL:<a href='tore.tuhh.de/'>tore.tuhh.de/</a>","http://www.wikidata.org/entity/Q1060","Universitat Tècnica d'Hamburg","Point(9.969505555 53.460958333)",53.460958333333,9.9695055555556,"3"
"Q1110267","Nordrhein-Westfalen","CBS Cologne Business School GmbH","Köln","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,35.2,39.55,"Hochschule",NA,NA,NA,NA,NA,NA,NA," ","http://www.wikidata.org/entity/Q1110267","Q1110267","Point(6.949201 50.924503)",50.924503,6.949201,"3"
"Q1118809","Baden-Württemberg","Fraunhofer-Institut für Physikalische Messtechnik (IPM)","Freiburg","Forschungsorganisation: Frauenhofer-Gesellschaft",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.26,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:<a href='https://www.openaccess.fraunhofer.de/'>https://www.openaccess.fraunhofer.de/</a> OA Policy URL:<a href='https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf'>https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf</a> OA Repositorium URL:<a href='https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html'>https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html</a>","http://www.wikidata.org/entity/Q1118809","Q1118809","Point(7.83062 48.01784)",48.01784,7.83062,"3"
"Q1119337","Nordrhein-Westfalen","Max-Planck-Institut für Gesellschaftsforschung (MPIFG)","Köln","Forschungsorganisation: Max-Planck-Gesellschaft",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution",NA,NA,NA,"openaccess.mpg.de/3544/Positionen",NA,"pure.mpg.de/",NA,"  OA Policy URL:<a href='openaccess.mpg.de/3544/Positionen'>openaccess.mpg.de/3544/Positionen</a> OA Repositorium URL:<a href='pure.mpg.de/'>pure.mpg.de/</a>","http://www.wikidata.org/entity/Q1119337","Q1119337","Point(6.95417 50.9267)",50.9267,6.95417,"3"
"Q1167435","Hessen","Fraunhofer-Institut für Biomedizinische Technik (IBMT)","Sulzbach","Forschungsorganisation: Frauenhofer-Gesellschaft",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution","https://www.openaccess.fraunhofer.de/",NA,NA,"https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf",NA,"https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html",NA," OA websites:<a href='https://www.openaccess.fraunhofer.de/'>https://www.openaccess.fraunhofer.de/</a> OA Policy URL:<a href='https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf'>https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf</a> OA Repositorium URL:<a href='https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html'>https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html</a>","http://www.wikidata.org/entity/Q1167435","Q1167435","Point(7.10874 49.2708)",49.2708,7.10874,"3"
"Q1170236","Hessen","Max-Planck-Institut für terrestrische Mikrobiologie (MPIterMic)","Marburg","Forschungsorganisation: Max-Planck-Gesellschaft",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,"66.67%",66.67,34.24,39.55,"ForschungsInstitution",NA,NA,NA,"openaccess.mpg.de/3544/Positionen",NA,"pure.mpg.de/",NA,"  OA Policy URL:<a href='openaccess.mpg.de/3544/Positionen'>openaccess.mpg.de/3544/Positionen</a> OA Repositorium URL:<a href='pure.mpg.de/'>pure.mpg.de/</a>","http://www.wikidata.org/entity/Q1170236","Q1170236","Point(8.810833 50.806389)",50.806389,8.810833,"3"
"Q1183724","Berlin","DEKRA Hochschule für Medien","Berlin","Hochschule",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"0%",0,40.09,39.55,"Hochschule",NA,NA,NA,NA,NA,NA,NA," ","http://www.wikidata.org/entity/Q1183724","Q1183724","Point(13.4523379 52.5039965)",52.5039965,13.4523379,"3"
